step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
131,125836,524,0.17205886166199982,0.5,0.9466666666666667
132,126480,528,0.14910073624585493,0.5,0.9259259259259259
133,127316,532,0.14154801767016878,0.5,0.97
134,128056,536,0.13117595678301913,0.5,0.9811320754716981
135,128444,540,0.18014177867497996,0.75,0.9782608695652174
136,129600,544,0.12593368771195143,0.0,0.9130434782608695
137,130276,548,0.17834933806076703,0.25,0.9358974358974359
138,131112,552,0.14064362604639716,0.25,0.9142857142857143
139,131884,556,0.13065419319423957,0.75,0.9916666666666667
140,132720,560,0.13005598070016508,0.25,0.90625
141,133556,564,0.13465286163607268,0.5,0.972972972972973
142,134424,568,0.14547512051859404,0.5,0.9775280898876404
143,135452,572,0.17464333133021245,0.25,0.9382716049382716
144,136064,576,0.17566241355701626,0.25,0.9552238805970149
145,136580,580,0.10660916434184158,0.5,0.9615384615384616
146,137448,584,0.09439467494104103,0.75,0.9880952380952381
147,138124,588,0.17467132849365063,0.25,0.9666666666666667
148,138960,592,0.13286517685213067,0.25,0.9411764705882353
149,139796,596,0.13037649050440975,0.25,0.9692307692307692
150,140760,600,0.13528085680388094,0.25,0.9545454545454546
151,141372,604,0.16363054612987976,0.5,0.9636363636363636
152,141952,608,0.17169826359887314,0.5,0.98
153,142660,612,0.18096955761199568,0.25,0.9393939393939394
154,143336,616,0.17010621536871123,0.5,0.978021978021978
155,145260,620,0.14541625373317707,0.0,0.9322033898305084
156,146416,624,0.09818276567286693,0.5,0.9736842105263158
157,147124,628,0.1810515077024666,0.5,0.9047619047619048
158,147672,632,0.20387743566539898,0.25,0.8648648648648649
159,148380,636,0.1134609182455048,0.75,0.9873417721518988
160,149120,640,0.17326791926531224,0.5,0.9259259259259259
161,150436,644,0.1506474754505447,0.0,0.9550561797752809
162,151752,648,0.10841590126678716,0.5,0.9770992366412213
163,152652,652,0.16339934057022698,0.5,0.9591836734693877
164,153200,656,0.24212709185224632,0.0,0.9326923076923077
165,153780,660,0.11710213614611788,1.0,1.0
166,155736,664,0.07920408665170643,0.75,0.9861111111111112
167,156700,668,0.17712033110608782,0.0,0.9318181818181818
